candidate_id,name,email,phone,test_score,test_date,status
ID0001,Candidate 1,user1@example.com,0123456789,26,2024-06-08,failed
ID0002,Candidate 2,user2@test.org,0123456789,11,2025-01-07,completed
ID0003,Candidate 3,user3@example.com,+84123456789,58,2024-07-04,failed
ID0004,Candidate 4,user4@example.com,+84123456789,22,2025-01-06,failed
ID0005,Candidate 5,user5@example.com,+84123456789,97,2024-12-27,pending
ID0006,Candidate 6,user6@example.com,0123456789,52,2025-05-10,failed
ID000709,Candidate 7,user7@test.org,+84123456789,65,2025-8902-20,failed
ID0008,Candidate 8,user8@test.org,+84123456789,44,2024-10-06,completed
ID0009,Candidate 9,user9@example.com,0123456789,32,2025-04-30,pending
ID0010,Candidate 10,user10@demo.net,+84123456789,53,2025-03-28,failed
ID0011,Candidate 11,user11@test.org,+1-202-555-0175,81,2025-01-27,failed
ID0012,Candidate 12,user12@demo.net,0909123456,17,2024-07-21,pending
ID0013,Candidate 13,user13@test.org,0123456789,39,2024-08-15,failed
ID0014,Candidate 14,user14@example.com,+1-202-555-0175,61,2025-04-23,pending
ID0015,Candidate 15,user15@demo.net,+84123456789,47,2024-11-27,pending
ID0016,Candidate 16,user16@demo.net,0909123456,3,2024-07-10,completed
ID0017,Candidate 17,user17@demo.net,+1-202-555-0175,79,2024-08-03,pending
ID0018,Candidate 18,user18@test.org,+1-202-555-0175,16,2025-03-08,completed
ID0019,Candidate 19,user19@example.com,+84123456789,65,2024-11-01,failed
ID0020,Candidate 20,user20@demo.net,+84123456789,88,2024-10-19,completed
ID0021,Candidate 21,user21@test.org,0123456789,17,2024-09-22,pending
ID0022,Candidate 22,user22@test.org,+1-202-555-0175,24,2024-07-12,pending
ID0023,Candidate 23,user23@example.com,0123456789,89,2024-12-21,failed
ID0024,Candidate 24,user24@example.com,+84123456789,6,2024-12-11,failed
ID0025,Candidate 25,user25@test.org,+84123456789,27,2024-07-20,pending
ID0026,Candidate 26,user26@test.org,+1-202-555-0175,11,2024-09-30,completed
ID0027,Candidate 27,user27@demo.net,+84123456789,4,2024-06-02,failed
ID0028,Candidate 28,user28@example.com,+84123456789,41,2025-03-31,pending
ID0029,Candidate 29,user29@test.org,+84123456789,50,2024-09-17,completed
ID0030,Candidate 30,user30@demo.net,0909123456,20,2024-09-04,failed
ID0031,Candidate 31,user31@demo.net,0909123456,63,2024-12-03,failed
ID0032,Candidate 32,user32@test.org,+84123456789,97,2024-11-12,failed
ID0033,Candidate 33,user33@test.org,+84123456789,20,2025-04-08,failed
ID0034,Candidate 34,user34@test.org,+84123456789,61,2024-10-05,pending
ID0035,Candidate 35,user35@test.org,0909123456,43,2024-09-18,completed
ID0036,Candidate 36,user36@example.com,+1-202-555-0175,20,2024-12-21,completed
ID0037,Candidate 37,user37@test.org,0909123456,60,2024-10-12,failed
ID0038,Candidate 38,user38@test.org,+84123456789,55,2025-03-24,pending
ID0039,Candidate 39,user39@test.org,0909123456,55,2024-11-12,pending
ID0040,Candidate 40,user40@test.org,+1-202-555-0175,18,2024-08-05,failed
ID0041,Candidate 41,user41@example.com,+1-202-555-0175,71,2025-05-13,completed
ID0042,Candidate 42,user42@demo.net,0909123456,56,2024-09-16,failed
ID0043,Candidate 43,user43@example.com,+1-202-555-0175,57,2024-05-21,failed
ID0044,Candidate 44,user44@demo.net,0909123456,57,2024-12-16,completed
ID0045,Candidate 45,user45@test.org,+1-202-555-0175,23,2024-08-02,completed
ID0046,Candidate 46,user46@test.org,+1-202-555-0175,76,2025-04-01,pending
ID0047,Candidate 47,user47@test.org,+84123456789,18,2025-02-03,failed
ID0048,Candidate 48,user48@demo.net,+84123456789,56,2024-12-03,failed
